product_id,product_category,product_name,review_description,number_stars,review_date,customer_id,customer_name,zip_code,customer_age
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,Zeer tevreden over de begeleiding en de goede organisatie nummer 13,5,2022-09-04,C0099,Naomi Visser,9182,76.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,26/07/2022,C0200,S. Bakker,8738,73.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,06-07-2025,C0199,Eva Kuipers,9401,65.0
P013,Hulpmiddelen & Comfortproducten,Zonnebloem Rolstoelkussen Comfort,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,24-11-2023,C0137,Tom Willems,9962,75.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,De ervaring was wisselend met zowel pluspunten als minpunten nummer 9,3,17-03-2025,C0179,A El Amrani,6694,66.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 23,4,02-03-2024,C0104,,9328,66.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,Zeer tevreden over de begeleiding en de goede organisatie nummer 6,5,11-08-2022,C0126,Karin de Groot,5559,85.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 3,5,16-12-2022,C0181,Karin de Groot,6424,64.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,Zeer tevreden over de begeleiding en de goede organisatie nummer 4,5,12-05-2023,C0191,L Verhoeven,8602,85.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 12,5,21/10/2024,C0149,K. de Groot,,74.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,Er waren veel problemen met de planning en te weinig hulp nummer 14,1,15/09/2022,C0043,Naomi Visser,9452,70.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,07/03/2024,C0097,Ahmed El Amrani,6899,73.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,De ervaring was wisselend met zowel pluspunten als minpunten nummer 5,3,07/09/2022,C0101,E. Kuipers,,71.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,2024-09-07,C0095,T Willems,6955,74.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 21,4,17/01/2023,C0085,Tom Willems,1934,74.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 22,4,03-11-2022,C0039,Eva Kuipers,2787,72.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,2025-05-03,C0019,R. de Boer,2161,61.0
P009,Zonnebloem-boottochten,MPS Zonnebloem Herfsttocht,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 29,4,13-05-2025,C0062,Ahmed El Amrani,6874,70.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,04-03-2023,C0184,Jan de Vries,1550,76.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,De ervaring was wisselend met zowel pluspunten als minpunten nummer 2,3,05-03-2023,C0100,Eva Kuipers,8357,66.0
P010,Zonnebloem-boottochten,MPS Zonnebloem Voorjaarscruise,Zeer tevreden over de begeleiding en de goede organisatie nummer 18,5,22/10/2025,C0126,Naomi Visser,6305,68.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,Zeer tevreden over de begeleiding en de goede organisatie nummer 17,5,2024-08-22,C0078,A Koster,3561,74.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Zeer tevreden over de begeleiding en de goede organisatie nummer 14,5,2025-05-14,C0090,Lisa Verhoeven,3192,87.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,Zeer tevreden over de begeleiding en de goede organisatie nummer 7,5,2024-12-22,C0176,P. van Dijk,5686,80.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 28,4,2024-11-05,C0107,S. Bakker,6255,61.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Er waren veel problemen met de planning en te weinig hulp nummer 4,1,03/08/2022,C0064,R. de Boer,7203,65.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 29,4,18/02/2023,C0158,,6932,66.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 13,5,31-10-2025,C0008,Henk Mulder,1704,78.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,Er waren veel problemen met de planning en te weinig hulp nummer 8,1,13/06/2025,C0166,E. Kuipers,1369,68.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,15/02/2023,C0025,Tom Willems,5365,77.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 8,5,09/02/2025,C0121,L Verhoeven,7453,75.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,De ervaring was wisselend met zowel pluspunten als minpunten nummer 7,3,2025-01-19,C0105,Lisa Verhoeven,4996,61.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 29,4,2022-07-02,C0016,Jan de Vries,5261,67.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 28,4,19/10/2023,C0175,Anja Koster,6449,79.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,De ervaring was wisselend met zowel pluspunten als minpunten nummer 1,3,15-10-2024,C0084,L Verhoeven,6136,88.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,2023-07-04,C0024,L Verhoeven,8360,78.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Zeer tevreden over de begeleiding en de goede organisatie nummer 6,5,02-02-2024,C0060,B. Smit,4981,65.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Zeer tevreden over de begeleiding en de goede organisatie nummer 8,5,2023-01-18,C0085,Jan de Vries,2157,83.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Zeer tevreden over de begeleiding en de goede organisatie nummer 19,5,2024-08-14,C0011,Maria Jansen,1707,65.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 24,4,09-10-2022,C0127,Naomi Visser,6148,83.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 5,5,20/12/2022,C0097,Anja Koster,7308,70.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Zeer tevreden over de begeleiding en de goede organisatie nummer 15,5,14-02-2023,C0143,Ahmed El Amrani,2828,61.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Er waren veel problemen met de planning en te weinig hulp nummer 13,1,11-05-2022,C0175,L Verhoeven,6330,69.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,Zeer tevreden over de begeleiding en de goede organisatie nummer 17,5,27/05/2024,C0157,K. de Groot,2145,60.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 3,5,24-01-2024,C0172,B Smit,7543,73.0
P015,Hulpmiddelen & Comfortproducten,Bedtafel Verstelbaar Zonnebloem,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 22,4,2025-10-25,C0103,L Verhoeven,3827,63.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,De ervaring was wisselend met zowel pluspunten als minpunten nummer 2,3,2024-01-26,C0160,E. Kuipers,2468,74.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,Zeer tevreden over de begeleiding en de goede organisatie nummer 5,5,27/05/2024,C0075,Piet van Dijk,5414,65.0
P011,Zonnebloem-boottochten,Dagtocht Rivierenland met MPS,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,27-12-2023,C0196,E. Kuipers,1636,74.0
P015,Hulpmiddelen & Comfortproducten,Bedtafel Verstelbaar Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 18,5,2022-06-21,C0009,,9707,63.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 20,5,27/08/2022,C0131,Jan de Vries,1410,72.0
P018,Vrijwilligersdiensten,Mee-naar-ziekenhuis Service,Zeer tevreden over de begeleiding en de goede organisatie nummer 10,5,08/10/2025,C0173,H. Mulder,8078,70.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 13,5,12/11/2023,C0188,Jan de Vries,3072,66.0
P007,Toegankelijke dagjes uit,Stadswandeling met Vrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 20,5,24/03/2024,C0007,A Koster,9439,72.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 26,4,2024-10-16,C0018,E. Kuipers,2969,63.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Zeer tevreden over de begeleiding en de goede organisatie nummer 11,5,24-06-2025,C0010,M. Jansen,2438,67.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Zeer tevreden over de begeleiding en de goede organisatie nummer 19,5,09/10/2024,C0098,Maria Jansen,6404,66.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,De ervaring was wisselend met zowel pluspunten als minpunten nummer 4,3,16/09/2022,C0121,Henk Mulder,4449,68.0
P016,Hulpmiddelen & Comfortproducten,Steunkussen Extra Hoog,Zeer tevreden over de begeleiding en de goede organisatie nummer 4,5,06/01/2025,C0084,Tom Willems,9904,73.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,23-01-2025,C0179,Jan de Vries,7945,67.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 6,5,17/07/2024,C0114,,7537,63.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,De ervaring was wisselend met zowel pluspunten als minpunten nummer 4,3,25/02/2024,C0179,Tom Willems,9294,63.0
P015,Hulpmiddelen & Comfortproducten,Bedtafel Verstelbaar Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 8,5,08/10/2023,C0056,Naomi Visser,5411,59.0
P013,Hulpmiddelen & Comfortproducten,Zonnebloem Rolstoelkussen Comfort,De ervaring was wisselend met zowel pluspunten als minpunten nummer 6,3,01-05-2022,C0186,Naomi Visser,2414,71.0
P001,Rolstoelvriendelijke vakanties,Zonnebloem Zomercruise Noordzee,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 21,4,11/06/2025,C0099,Ahmed El Amrani,1829,65.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Zeer tevreden over de begeleiding en de goede organisatie nummer 10,5,13-07-2023,C0043,Piet van Dijk,7795,74.0
P009,Zonnebloem-boottochten,MPS Zonnebloem Herfsttocht,Zeer tevreden over de begeleiding en de goede organisatie nummer 12,5,2023-04-15,C0032,L Verhoeven,1645,77.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,23-03-2025,C0111,E. Kuipers,1735,80.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Zeer tevreden over de begeleiding en de goede organisatie nummer 13,5,20-04-2025,C0133,B Smit,1657,68.0
P017,Vrijwilligersdiensten,Boodschappenservice Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 8,5,01/05/2023,C0013,Maria Jansen,7049,73.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,De ervaring was wisselend met zowel pluspunten als minpunten nummer 3,3,22-10-2023,C0171,E. Kuipers,3610,57.0
P020,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 21,4,29/01/2025,C0075,Lisa Verhoeven,4322,60.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,De ervaring was wisselend met zowel pluspunten als minpunten nummer 4,3,09-01-2023,C0111,Ronald de Boer,1027,64.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Er waren veel problemen met de planning en te weinig hulp nummer 4,1,02/06/2023,C0025,L. Verhoeven,,64.0
P016,Hulpmiddelen & Comfortproducten,Steunkussen Extra Hoog,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 21,4,2023-09-12,C0055,P. van Dijk,2121,65.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 28,4,23/10/2025,C0191,K. de Groot,3609,64.0
P012,Zonnebloem-boottochten,Avondvaart Randstad Havengebied,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 22,4,25/03/2025,C0036,K. de Groot,8110,76.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,De ervaring was wisselend met zowel pluspunten als minpunten nummer 2,3,2024-02-12,C0095,L Verhoeven,6115,69.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Zeer tevreden over de begeleiding en de goede organisatie nummer 18,5,06/12/2022,C0071,Sanne Bakker,5500,67.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,03/03/2022,C0087,Eva Kuipers,8599,62.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,De ervaring was wisselend met zowel pluspunten als minpunten nummer 10,3,07/03/2023,C0158,,4925,80.0
P008,Toegankelijke dagjes uit,Toegankelijke Stranddag Zeeland,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 25,4,18-03-2023,C0090,L. Verhoeven,,63.0
P003,Rolstoelvriendelijke vakanties,Limburgse Heuvelland Week,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,13-04-2022,C0129,P. van Dijk,1707,72.0
P009,Zonnebloem-boottochten,MPS Zonnebloem Herfsttocht,De ervaring was wisselend met zowel pluspunten als minpunten nummer 8,3,26-09-2022,C0071,Henk Mulder,3689,67.0
P002,Rolstoelvriendelijke vakanties,All-in Spanje Rolstoelvakantie,Zeer tevreden over de begeleiding en de goede organisatie nummer 7,5,22-04-2022,C0045,A El Amrani,2011,72.0
P005,Toegankelijke dagjes uit,Dagtocht Toegankelijk Dierenpark,Zeer tevreden over de begeleiding en de goede organisatie nummer 6,5,03/02/2023,C0180,Naomi Visser,6265,63.0
P019,Vrijwilligersdiensten,Telefonische Contactvrijwilliger,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 27,4,23/01/2024,C0188,Tom Willems,3321,69.0
P014,Hulpmiddelen & Comfortproducten,Antislip Dienblad Zonnebloem,Zeer tevreden over de begeleiding en de goede organisatie nummer 2,5,19-05-2022,C0068,Naomi Visser,1904,69.0
P004,Rolstoelvriendelijke vakanties,All-inclusive Veluwe Arrangement,De ervaring was wisselend met zowel pluspunten als minpunten nummer 9,3,2025-01-24,C0109,,1001,65.0
P010,Zonnebloem-boottochten,MPS Zonnebloem Voorjaarscruise,Alles verliep rustig en toegankelijk voor mijn rolstoel nummer 21,4,28/09/2024,C0060,Naomi Visser,5277,67.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 14,5,07/03/2023,C0082,Jan de Vries,8945,63.0
P006,Toegankelijke dagjes uit,Rolstoelvriendelijk Museumarrangement,Zeer tevreden over de begeleiding en de goede organisatie nummer 8,5,10/10/2023,C0124,M. Jansen,6100,79.0
P018,Vrijwilligersdiensten,Mee-naar-ziekenhuis Service,Zeer tevreden over de begeleiding en de goede organisatie nummer 5,5,2023-01-20,C0109,Jan de Vries,7472,70.0
