product_id;product_category;product_name;review_description;number_stars;review_id;customer_id;customer_name;zip_code;customer_age;
F022;Rekening;ZZP Rekening;Werkt perfect voor mijn bedrijf.;5;R022;C022;Chiel Eriks;4203;32;
F023;Krediet;Persoonlijke Lening;Uitbetaling duurde te lang.;2;R023;C023;Marcel J.;4203;37;
F024;Hypotheek;Hypotheek Vast;Adviseur wist niet waar hij het over had.;1;R024;C024;Debby van Hees;3051;44;
F025;Sparen;SpaarKas Junior;Goede rente!;5;R025;C025;Roos van t Zand;1017;25;
F026;Krediet;Doorlopend Krediet;Onbegrijpelijke contracten.;1;R026;C026;Sylvia de Beer;5001;39;
F027;Beleggen;Beleggingsrekening Basis;Best tevreden, overzichtelijk.;4;R027;C027;Tessa Wagenaar;1087;42;
F028;Rekening;Betaalrekening Basis;;3;R028;C028;-;1017;;
F029;Rekening;Betaalrekening Basis;Prima rekening.;5;R029;C029;WAhid R.;2013;30;
F030;Hypotheek;Hypotheek Variabel;Te hoge maandlasten.;2;R030;C030;J. Franken;2899;50;
F031;Sparen;SpaarPlan Flex;Prettige voorwaarden.;4;R031;C031;Hennie W.;5002;48;
F032;Krediet;Persoonlijke Lening;Slechte communicatie.;2;R032;C032;Linda Peper;4001;43;
F033;Beleggen;Beleggingsrekening Plus;Mijn rendement is dramatisch.;1;R033;C033;Jan-Paul R.;1087;51;
F034;Sparen;SpaarKas Junior;Ideaal product!;5;R034;C034;Sanne D.;3051;27;
F035;Rekening;Betaalrekening Plus;Kreeg dubbele afschrijving?;2;R035;C035;Ilse Boon;4203;30;
F036;Krediet;Doorlopend Krediet;Service was uitstekend!;5;R036;C036;Tim van der Meer;2013;28;
F037;Beleggen;Beleggingsrekening Basis;Interface onlogisch.;2;R037;C037;Marit S.;5002;31;
F038;Rekening;Betaalrekening Basis;Prima voor dagelijks gebruik.;4;R038;C038;Peter V.;1017;36;
F039;Hypotheek;Hypotheek Vast;Te veel papierwerk.;3;R039;C039;Suzan Broek;2899;33;
F040;Sparen;SpaarPlan Flex;Rente valt tegen.;2;R040;C040;Eline Krul;5001;29;
F041;Rekening;ZZP Rekening;Super rekening.;5;R041;C041;J. Muller;1087;57;
F042;Krediet;Persoonlijke Lening;Uitstekende uitleg.;5;R042;C042;Koen Vliet;3051;32;
F043;Sparen;SpaarKas Junior;Rekening geopend, maar app werkt niet.;1;R043;C043;Naomi Rood;4001;38;
F044;Beleggen;Beleggingsrekening Plus;Koersen kloppen soms niet??;1;R044;C044;Eric Smit;1017;45;
F045;Hypotheek;Hypotheek Vast;Heel blij met de hypotheek!;5;R045;C045;Rosalie;5002;25;
F046;Beleggen;Beleggingsrekening Basis;‘Geweldig’ product… not.;1;R046;C046;Bart Meinderts;2013;35;
F047;Sparen;SpaarPlan Flex;Mooie rente!;5;R047;C047;Jaap Mol;2899;48;
F048;Rekening;Betaalrekening Plus;Top rekening!;5;R048;C048;T. Vieveen;4203;34;
F049;Krediet;Doorlopend Krediet;Te hoge rente.;2;R049;C049;Marianne de Vos;5001;44;
F050;Sparen;SpaarKas Junior;;3;R050;C050;Unknown;1087;47;
F051;Sparen;SpaarKas Junior;Prima product.;4;R051;C051;Sophie Kooiman;1087;30;
F052;Krediet;Persoonlijke Lening;Vlotte afhandeling.;5;R052;C052;Freek Willems;4203;39;
F053;Rekening;ZZP Rekening;Veel te duur.;1;R053;C053;Chantal;3051;27;
F054;Rekening;Betaalrekening Plus;Werkt goed, geen klachten.;4;R054;C054;Gerrie;2899;52;
F055;Krediet;Doorlopend Krediet;Onbegrijpelijke kosten.;1;R055;C055;Dennis;2013;29;
F056;Sparen;SpaarPlan Flex;Fijn product.;5;R056;C056;Kim;1017;26;
F057;Rekening;Betaalrekening Basis;Niet gebruiksvriendelijk.;2;R057;C057;Sander;4001;42;
F058;Sparen;SpaarKas Junior;Prima!;4;R058;C058;Liesbeth;2899;47;
F059;Krediet;Persoonlijke Lening;Te hoge maandlasten.;2;R059;C059;Fenna;5001;36;
F060;Hypotheek;Hypotheek Vast;Heel tevreden.;5;R060;C060;Jelte;1087;41;
F061;Sparen;SpaarPlan Flex;Niet geschikt voor mij.;1;R061;C061;Madelief;5002;24;
F062;Rekening;Betaalrekening Basis;Doet wat het moet doen.;5;R062;C062;Graham;2013;33;
F063;Krediet;Doorlopend Krediet;Veel te duur.;1;R063;C063;Pieter;4203;37;
F064;Hypotheek;Hypotheek Variabel;Blij mee!;4;R064;C064;Wouter;3051;45;
F065;Rekening;Betaalrekening Basis;App crasht vaak.;2;R065;C065;Daphne;1017;29;
F066;Sparen;SpaarKas Junior;Goed geregeld.;4;R066;C066;Emma;5001;31;
F067;Krediet;Persoonlijke Lening;Rente absurd.;1;R067;C067;Bas;1087;55;
F068;Hypotheek;Hypotheek Vast;Fijn traject.;3;R068;C068;Sarah;2899;32;
F069;Rekening;ZZP Rekening;Handig product.;4;R069;C069;Nico;4001;40;
F070;Rekening;ZZP Rekening;Te duur voor wat je krijgt.;1;R070;C070;Koen;2013;29;
F071;Krediet;Doorlopend Krediet;Heel fijn!;5;R071;C071;Mirjam;5002;34;
F072;Sparen;SpaarPlan Flex;Geweldig!;5;R072;C072;Thijs;1017;27;
F073;Rekening;Betaalrekening Basis;Werkt goed.;5;R073;C073;Petra;4203;42;
F074;Hypotheek;Hypotheek Vast;Te ingewikkeld.;2;R074;C074;Johan;3051;38;
F075;Sparen;SpaarKas Junior;Mooi product.;4;R075;C075;Lisa;5001;26;
F076;Krediet;Doorlopend Krediet;Slechte service.;2;R076;C076;Edwin;1087;46;
F077;Krediet;Doorlopend Krediet;Slechte service.;2;R076;C076;Edwin;1087;46;
F078;Krediet;Doorlopend Krediet;Slechte service.;2;R076;C076;Edwin;1087;46;
F079;Rekening;Betaalrekening Plus;Prima.;4;R079;C079;Anke;2899;48;
F080;Rekening;Betaalrekening Plus;Kost teveel.;1;R080;C080;Ria;4001;36;
F081;Hypotheek;Hypotheek Variabel;Heel blij!;5;R081;C081;Tim;2013;30;
F082;Sparen;SpaarKas Junior;Werkt niet.;1;R082;C082;Noa;5002;25;
F083;Rekening;Betaalrekening Basis;Te duur.;2;R083;C083;Sjoerd;1017;28;
F084;Krediet;Persoonlijke Lening;Prima.;3;R084;C084;Femke;4203;33;
F085;Sparen;SpaarPlan Flex;Top rente.;5;R085;C085;Daan;3051;40;
F086;Hypotheek;Hypotheek Vast;Geweldig!;5;R086;C086;Henk;1087;57;
F087;Hypotheek;Hypotheek Vast;Geweldig!;5;R086;C086;Henk;1087;57;
F088;Hypotheek;Hypotheek Vast;Geweldig!;5;R086;C086;Henk;1087;57;
F089;Krediet;Doorlopend Krediet;Te heet? (Geen idee wat dit moet zijn);1;R089;C089;Maaike;5001;29;
F090;Rekening;Betaalrekening Basis;Niet geweldig.;2;R090;C090;Bram;2899;31;
F091;Sparen;SpaarPlan Flex;Top!;5;R091;C091;Teun;2013;27;
F092;Rekening;ZZP Rekening;Prima.;5;R092;C092;Maria;4001;35;
F093;Hypotheek;Hypotheek Vast;Veel te zwaar.;3;R093;C093;Gerard;3051;53;
F094;Krediet;Doorlopend Krediet;Kapot contract??;2;R094;C094;Roel;4203;37;
F095;Rekening;Betaalrekening Plus;Matig product.;2;R095;C095;Dirk;1017;41;
F096;Sparen;SpaarKas Junior;Fantastisch.;5;R096;C096;Evy;5002;29 jaar;
F097;Hypotheek;Hypotheek Vast;Scherm flikkert. Eh—hypotheek scherm?;1;R097;C097;Loes;1087;44;
F098;Hypotheek;Hypotheek Vast;Proces moeizaam.;2;R098;C098;Jeroen;1087;46;
F099;Krediet;Doorlopend Krediet;Veel problemen.;1;R099;C099;Anja;4001;33;
F100;Rekening;Betaalrekening Basis;Goed genoeg.;4;R100;C100;Wim;2899;58;
P121;Sparen;Internet Spaarrekening;Prima rente, al kon de app wel iets sneller reageren.;4;R421;C882;Jeroen Maas;3012AB;34;
P122;Beleggen;Duurzaam Indexfonds;Fantastisch rendement dit kwartaal!;5;R422;C883;Sofie Kramr;1017CV;29;
P123;Hypotheken;Annuïteitenhypotheek;Traag proces… heel traag. Echt niet oké.;2;R423;C884;Tom de Ruy ter;5611DL;41;
P124;Betaalrekeningen;FlexBetaal;Werkt prima voor dagelijkse zaken.;4;R424;C885;Lisa Veldkamp;2332HV;27 jaar;
P125;Beleggen;High-Risk Crypto Mandje;Jullie noemen dit een product? Het is gewoon gokwerk.;1;R425;C886;Robbert Hill;1211KD;52;
P126;Leningen;Persoonlijke Lening;Helder advies en snelle goedkeuring!;5;R426;C887;Marieke Bloo;3581PL;23;
P127;Sparen;Groen Deposito;Goede voorwaarden, maar klantenservice reageert langzaam.;3;R427;C888;Elena D’Mir;7412SZ;33;
P128;Verzekeren;Reisverzekering Plus;Top! Claim binnen 24 uur afgehandeld.;5;R428;C889;Maikel Timmers;5341TB;46;
P129;Beleggen;Indexfonds Wereldwijd;Kan beter… fees zijn hoger dan verwacht.;3;R429;C890;Ksenia V.;;;38
P130;Hypotheken;Lineaire Hypotheek;Overzichtelijke aflossingen en goede begeleiding.;4;R430;C891;Fleur Bos;9728AG;31;
P131;Betaalrekeningen;Premium Account;Voor wat je betaalt krijg je eerlijk gezegd weinig terug.;2;R431;C892;Marc-Jan Vor;1448LR;45;
P132;Sparen;Jongeren Spaarplan;Mijn dochter vindt het leuk om haar spaargeld zo te zien groeien!;5;R432;C893;Anouk Kleij;2513AM;36;
P133;Beleggen;Obligatiefonds Defensief;Saai rendement maar wel stabiel.;4;R433;C894;Bob Wie;4103VP;58;
P134;Hypotheken;Starters Hypotheek;Te veel papierwerk, en dan nóg vertraging.;2;R434;C895;Eva ter Laak;6213CB;28;
P135;Leningen;Duo-Lening Alternatief;Niet bijzonder, maar precies wat ik nodig had.;3;R435;C896;Ilhan Arslan;3074LA;30;
P123;Hypotheken;Annuïteitenhypotheek;Traag proces… heel traag. Echt niet oké.;2;R423;C884;Tom de Ruy ter;5611DL;41;
P136;Betaalrekeningen;FlexBetaal;Heel veel storingen de laatste tijd…;1;R436;C897;Jess van 't Hof;3133EP;24;
P137;Beleggen;Goud & Edelmetalen Fonds;Fijn dat ik kan spreiden buiten aandelen. Voelt veilig.;4;R437;C898;Andre Peeters;8911BT;63 jaar;
P138;Sparen;Spaardeposito 10 jaar;Rente is goed maar het vastzetten voelt eng.;3;R438;C899;Maria de Swrt;5254EA;59;
P139;Leningen;Autolening;Binnen een dag geregeld! Supertevreden.;5;R439;C900;Nadia Jansen;6832GH;41;
P140;Verzekeren;Woonverzekering Basis;Claim afgewezen voor ‘onduidelijke reden’. Ja dag.;1;R440;C901;Rik H.;2021LR;32;
P141;Betaalrekeningen;FlexBetaal;Prima rekening, niet meer en niet minder.;3;R441;C902;Janneke Til;7416RT;39;
P142;Beleggen;Tech Innovatie Fonds;Rendement wisselt sterk, maar tot nu toe positief.;4;R442;C903;Kai de Jong;1011AA;29;
P143;Sparen;Premium Spaarrekening;WAANZINNIG goede rente! Echt top.;5;R443;C904;Laura Veenstra;5022CV;33;
P144;Hypotheken;Duurzame Hypotheek;Veel gedoe maar uiteindelijk wel scherpe rente.;4;R444;C905;Tom Hille;1183AS;44;
P145;Leningen;RenovatieLening;Kon sneller, maar verder oké.;3;R445;C906;Sarah de Wind;5502NP;37;
P146;Betaalrekeningen;Business Account;Zakelijke koppelingen nauwelijks bruikbaar…;2;R446;C907;L. Brouwn;4001HJ;42;
P147;Verzekeren;Reisverzekering Plus;Perfect geholpen tijdens onze vakantie.;5;R447;C908;Milan Akker;3035RT;26;
P148;Beleggen;Duurzaam Indexfonds;Te veel groene marketing, weinig écht rendement.;2;R448;C909;Maaike den T.;7031JV;48;
P149;Sparen;Internet Spaarrekening;Niet de hoogste rente, maar werkt prima.;4;R449;C910;Arno Wiers;8012KG;54;
P150;Leningen;Persoonlijke Lening;Te hoge rente. Absoluut niet tevreden.;1;R450;C911;Jesssica Mert;2728PL;31;
P151;Sparen;Internet Spaarrekening;Goede rente maar de app loopt vaak vast… frustrerend.;3;R451;C912;Manon Kliers;3068AV;28;
P152;Beleggen;Tech Innovatie Fonds;Geweldig jaarresultaat, veel beter dan verwacht!;5;R452;C913;Dirk van L.;1441BG;51;
P153;Hypotheken;Starters Hypotheek;Helemaal verdwaald geraakt in het papierwerk.;2;R453;C914;Merta Dors;5613CD;29 jaar;
P154;Betaalrekeningen;FlexBetaal;Prima rekening, weinig poespas.;4;R454;C915;Roan K.;6525AG;36;
P155;Leningen;Persoonlijke Lening;Snel geregeld! Top service.;5;R455;C916;Elise Wolt;4206CL;47;
P156;Verzekeren;Woonverzekering Basis;Schadeclaim werd snel afgehandeld, heel tevreden.;5;R456;C917;Joepie van der L.;8003JP;55;
P157;Beleggen;Obligatiefonds Defensief;Stabiel rendement, maar wel saai.;4;R457;C918;Yara Mo;6825HB;33;
P158;Sparen;Spaardeposito 5 jaar;Had liever iets meer flexibiliteit gehad.;3;R458;C919;Kurt van Bemm;5555XR;49;
P159;Hypotheken;Lineaire Hypotheek;Begeleiding was goed, maar akte liep vertraging op.;3;R459;C920;Anne G.;9712EP;27;
P160;Beleggen;Goud & Edelmetalen Fonds;Geen idee waarom dit fonds zo veel schommelt…;2;R460;C921;Tim de Jon;1223TT;34;
P161;Betaalrekeningen;Premium Account;Veel te duur voor wat je krijgt.;1;R461;C922;Steven 't Hart;4335JJ;39;
P162;Leningen;Autolening;Razendsnel goedgekeurd, superfijn!;5;R462;C923;Demi Val;3681BR;23;
P163;Verzekeren;Reisverzekering Plus;Zeer behulpzaam toen mijn bagage zoek was.;5;R463;C924;Marloes Ker;2013JP;42;
P164;Sparen;Jongeren Spaarplan;Mijn zoon snapt het nog niet helemaal, maar hij vindt het leuk.;4;R464;C925;Erik Sw;8034TM;40;
P165;Beleggen;High-Risk Crypto Mandje;Tja… had ik het maar gelaten. Geld in rook op.;1;R465;C926;Mila Krens;1082DS;31;
P166;Hypotheken;Duurzame Hypotheek;Veel beloften, weinig resultaat. Matig.;2;R466;C927;Koen D'Anglo;6821LA;52;
P167;Betaalrekeningen;Business Account;Fijne koppelingen met boekhoudsoftware.;4;R467;C928;Frank Liev;3011HC;48;
P168;Leningen;RenovatieLening;Perfect voor onze keukenverbouwing!;5;R468;C929;Ilse Tramm;5708LC;37 jaar;
P169;Verzekeren;Woonverzekering Basis;Claim afgewezen… ja hoor, natuurlijk.;1;R469;C930;Susn D’r Holt;7311JC;46;
P170;Sparen;Premium Spaarrekening;Fantastische rente, blijf hier zeker!;5;R470;C931;Lisette W.;8511CR;59;
P171;Beleggen;Duurzaam Indexfonds;Lijkt duurzaam maar rendement valt telkens tegen.;2;R471;C932;Jari Roo;2141AE;28;
P172;Betaalrekeningen;FlexBetaal;Redelijk oké, maar te veel updates.;3;R472;C933;Kim V.;2751EK;24;
P173;Hypotheken;Annuïteitenhypotheek;Te veel wachttijd aan de telefoon… pfff.;2;R473;C934;Danny Klu;5011TR;41;
P174;Sparen;Internet Spaarrekening;Eenvoudig en duidelijk, niks op aan te merken.;4;R474;C935;Lotte Brun;7411BE;34;
P175;Beleggen;Indexfonds Wereldwijd;Goed rendement, duidelijke informatie.;5;R475;C936;Ahmed Belka;2514HN;45;
P176;Verzekeren;Reisverzekering Plus;Hielp ons met omboeken tijdens vlucht annulerng.;4;R476;C937;Marijn S.;;;38
P177;Leningen;Persoonlijke Lening;Administratie liep in de soep… niet fijn.;2;R477;C938;Karlijn Meeu;6004RR;32;
P178;Betaalrekeningen;Premium Account;Veel te ingewikkeld voor dagelijks gebruik.;1;R478;C939;Joost Fopp;8011TP;53;
P179;Beleggen;Goud & Edelmetalen Fonds;Voelt veilig en stabiel, ik blijf erin.;4;R479;C940;Marie-Clare V.;2031RP;62;
P180;Sparen;Spaardeposito 10 jaar;Lang vast maar hoge rente. Redelijk tevreden.;4;R480;C941;Tom de Waard;5223AX;44;
P181;Sparen;Internet Spaarrekening;Fijne rente, maar soms werkt inloggen niet…;3;R481;C942;Jan-Kees Mol;3062PH;51;
P182;Beleggen;Tech Innovatie Fonds;Explosief rendement dit jaar! Heel blij.;5;R482;C943;Sanne Dop;1431LW;29;
P183;Hypotheken;Lineaire Hypotheek;De adviseur was vriendelijk maar traag.;3;R483;C944;Maaike Lijn;7413EP;38;
P184;Betaalrekeningen;FlexBetaal;Prima basisrekening zonder gedoe.;4;R484;C945;R. Verber;8014NX;27 jaar;
P185;Leningen;Persoonlijke Lening;Onmogelijk om iemand te spreken… waardeloos.;1;R485;C946;Tom Smink;9726BE;33;
P186;Verzekeren;Woonverzekering Basis;Supersnel geholpen, kon het bijna niet geloven.;5;R486;C947;Leon Smit;5501GM;40;
P187;Beleggen;Obligatiefonds Defensief;Rustige groei, zoals verwacht.;4;R487;C948;Karin Olt;1215CH;59;
P188;Sparen;Spaardeposito 5 jaar;Beetje star product, maar wel duidelijke voorwaarden.;3;R488;C949;Harro t’ Lam;5212CC;45;
P189;Hypotheken;Starters Hypotheek;Proces was soepel, geen verrassingen.;4;R489;C950;Leandra Vos;6813PJ;31;
P190;Beleggen;Goud & Edelmetalen Fonds;Schommelingen maken me zenuwachtig.;2;R490;C951;Bram Kool;3083CT;34;
P191;Betaalrekeningen;Premium Account;Veel verborgen kosten. Niet aan beginnen.;1;R491;C952;Stepha Veen;4033JA;37;
P192;Leningen;Autolening;Verrassend snel goedgekeurd!;5;R492;C953;Yael Korn;2408ZN;26;
P193;Verzekeren;Reisverzekering Plus;Claim ging makkelijk door, goede service.;5;R493;C954;Emile Pronk;1443VX;62;
P194;Sparen;Premium Spaarrekening;Beste rente die ik kon vinden.;5;R494;C955;Joos van R.;6921XB;56;
P195;Beleggen;High-Risk Crypto Mandje;Jullie hadden me mogen waarschuwen… alles weg.;1;R495;C956;Silvy Not;7711JA;29;
P196;Hypotheken;Duurzame Hypotheek;Heel gedoe, maar uiteindelijk goed geregeld.;3;R496;C957;Frenk Tamm;2512BA;44;
P197;Betaalrekeningen;Business Account;Werkt goed met facturatie, top!;4;R497;C958;Mariëlla Peet;3544RH;41;
P198;Leningen;RenovatieLening;Snelle uitbetaling, weinig gedoe.;5;R498;C959;Niels Krap;8265ZH;32;
P199;Verzekeren;Woonverzekering Basis;Claim afgewezen zonder duidelijke reden??;1;R499;C960;Joel Drie;8012AP;40;
P200;Sparen;Internet Spaarrekening;Overzichtelijk en makkelijk te beheren.;4;R500;C961;Kim van G.;9715BN;35;
P201;Beleggen;Indexfonds Wereldwijd;Mooi gespreid fonds, goede keuze.;5;R501;C962;Alexandrr Velt;2331EN;48;
P202;Hypotheken;Annuïteitenhypotheek;Beetje traag maar verder prima.;3;R502;C963;Tamara Zonk;5614VC;36;
P203;Betaalrekeningen;FlexBetaal;Steeds kleine foutjes in de app… irritant.;2;R503;C964;Jorrit-Jan;7412DA;28;
P204;Beleggen;Duurzaam Indexfonds;Veel groene marketing, weinig echt resultaat.;2;R504;C965;Mare West;1012HV;30;
P205;Sparen;Jongeren Spaarplan;Mijn kind vindt het geweldig!;5;R505;C966;Lena Korp;2729BT;39;
P206;Leningen;Persoonlijke Lening;Niet slecht maar zeker niet snel.;3;R506;C967;Rob te R.;5321DX;42;
P207;Verzekeren;Reisverzekering Plus;Ging goed tot ik echt hulp nodig had… toen niks.;1;R507;C968;Evy Koobs;3315HE;29;
P208;Beleggen;Goud & Edelmetalen Fonds;Stabiel en veilig gevoel.;4;R508;C969;Harald Veen;6258MP;61 jaar;
P209;Betaalrekeningen;Premium Account;Veel te ingewikkeld voor senioren.;1;R509;C970;Marja van Pl;8022CK;67;
P210;Sparen;Spaardeposito 10 jaar;Hoge rente, maar lang vast. Twijfel nog.;3;R510;C971;Bernard N.;5051LS;50;
P211;Hypotheken;Starters Hypotheek;Heel duidelijk advies!;5;R511;C972;Annemiek Rns;3131PA;33;
P212;Beleggen;Tech Innovatie Fonds;Valt tegen dit jaar, helaas.;2;R512;C973;Henk Eij;1184AD;54;
P213;Sparen;Premium Spaarrekening;Werkt goed, overzichtelijk.;4;R513;C974;Mila Dre;4813PD;30;
P214;Betaalrekeningen;FlexBetaal;Redelijk oké maar niet bijzonder.;3;R514;C975;Tessa Ho;3079KB;24;
P215;Verzekeren;Woonverzekering Basis;Snelle reactie op mijn schadeclaim.;5;R515;C976;Ingrid Spoo;5831DH;49;
P216;Leningen;Autolening;Het duurde veel langer dan beloofd…;2;R516;C977;Brndt Mee;7314CZ;38;
P217;Beleggen;Obligatiefonds Defensief;Saai maar stabiel, prima.;4;R517;C978;Lut-Jan K;2023WV;57;
P218;Hypotheken;Duurzame Hypotheek;Veel kleine foutjes in documenten.;2;R518;C979;Jelle Ha;2316MJ;41;
P219;Betaalrekeningen;Business Account;Precies wat mijn bedrijf nodig had.;4;R519;C980;Yvo Hakk;8261HE;35;
P220;Beleggen;Duurzaam Indexfonds;Rendement te laag om duurzaam te noemen.;2;R520;C981;Moniek Belt;4031AM;33;
P221;Sparen;Internet Spaarrekening;App werkt langzaam, maar rente is prima.;3;R521;C982;Gerben Klok;6824HD;41;
P222;Beleggen;Indexfonds Wereldwijd;Mooi gespreid en uitstekend rendement!;5;R522;C983;Petra Vervo;3511TJ;52;
P223;Hypotheken;Annuïteitenhypotheek;Advies was goed, maar verwerking duurde eeuwig.;2;R523;C984;Lauro M.;2134HS;36;
P224;Betaalrekeningen;FlexBetaal;Prima betaalrekening voor dagelijkse dingen.;4;R524;C985;Tom Kleiss;7422KP;27;
P225;Leningen;Persoonlijke Lening;Verassend lage rente, heel tevreden.;5;R525;C986;Emma Bur;9723WE;29 jaar;
P226;Verzekeren;Woonverzekering Basis;Onbegrijpelijke afwijzing van mijn claim…;1;R526;C987;Bart-Jan Soel;2033JH;45;
P227;Beleggen;High-Risk Crypto Mandje;Had ik maar geluisterd… geld verdampt.;1;R527;C988;Kelly Verh;1541CE;32;
P228;Sparen;Spaardeposito 10 jaar;Lang vast, maar zeker en duidelijk.;4;R528;C989;Tim Veen;5427EW;58;
P229;Hypotheken;Starters Hypotheek;Alles liep soepel en snel.;5;R529;C990;Marjolein B.;8013VL;34;
P230;Betaalrekeningen;Premium Account;Veel te duur voor wat het biedt.;1;R530;C991;Freek d’Wit;5043BA;47;
P231;Beleggen;Goud & Edelmetalen Fonds;Stabiel resultaat, prettig gevoel.;4;R531;C992;Noor Blans;2722EP;39;
P232;Leningen;Autolening;Binnen twee dagen rond, top!;5;R532;C993;Lars Eij;6835HP;28;
P233;Verzekeren;Reisverzekering Plus;Goede service tijdens een verloren koffer.;5;R533;C994;Dylan Ro;5213GV;33;
P234;Sparen;Jongeren Spaarplan;Mn kind vindt het geweldig om saldo te zien groeien.;5;R534;C995;Anne-Marie;3571XR;35;
P235;Beleggen;Tech Innovatie Fonds;Rendement valt tegen de laatste maanden.;2;R535;C996;Stef Kol;2026RW;31;
P236;Hypotheken;Duurzame Hypotheek;Veel papierwerk, weinig begeleiding.;2;R536;C997;Ilja Thee;3565AT;41;
P237;Betaalrekeningen;Business Account;Fijne integratie met boekhoudsoftware.;4;R537;C998;Fabio Kerk;4624LM;48;
P238;Leningen;RenovatieLening;Precies wat we nodig hadden voor de badkamer.;5;R538;C999;Monica J.;7415HZ;52;
P239;Verzekeren;Woonverzekering Basis;Onvriendelijke medewerker, slechte ervaring.;1;R539;C1000;Roel de Kam;3311BK;46;
P240;Sparen;Premium Spaarrekening;Echt top, hoge rente!;5;R540;C1001;Lotte Vel;8021PN;38;
P241;Beleggen;Duurzaam Indexfonds;Veel beloftes, weinig rendement.;2;R541;C1002;Cees-Jan R.;1219CG;54;
P242;Betaalrekeningen;FlexBetaal;Fijn maar app werkt vaak niet mee.;3;R542;C1003;Yasmine;9622AM;26;
P243;Hypotheken;Lineaire Hypotheek;Duidelijke uitleg, prettig verloop.;4;R543;C1004;Marco H;5667ZT;43;
P244;Sparen;Internet Spaarrekening;Goede spaarrente!;5;R544;C1005;Karlijn Smit;4817HH;29;
P245;Beleggen;Tech Innovatie Fonds;Schommelt veel te veel…;2;R545;C1006;Robert Essen;1018BN;50;
P246;Verzekeren;Reisverzekering Plus;Snelle reactie toen mn fiets gejat was.;4;R546;C1007;Leroy;3023DK;;
P247;Leningen;Persoonlijke Lening;Veel gedoe en onduidelijke voorwaarden.;1;R547;C1008;Hanna Cools;5505PL;37;
P248;Betaalrekeningen;Premium Account;Rekening werkt goed, prijs te hoog.;3;R548;C1009;Judith V.;7425HJ;45;
P249;Beleggen;Obligatiefonds Defensief;Rustig, stabiel fonds. Niks mis mee.;4;R549;C1010;Gert-Jan;8028EA;63;
P250;Sparen;Spaardeposito 5 jaar;Beetje star, maar prima rente.;3;R550;C1011;Shanna R;3181WD;30;
P251;Hypotheken;Starters Hypotheek;Supergoed geholpen!;5;R551;C1012;Lou de K.;5611CC;28;
P252;Beleggen;Goud & Edelmetalen Fonds;Voelt veilig, al doet het weinig.;3;R552;C1013;Linn Treul;2201JL;49;
P253;Verzekeren;Woonverzekering Basis;Eindelijk een claim die WEL goed ging.;4;R553;C1014;Hugo Bok;7417GB;52;
P254;Leningen;Autolening;Ontzettend trage verwerking…;2;R554;C1015;Jort Wille;9714MP;43 jaar;
P255;Sparen;Premium Spaarrekening;Niks op aan te merken.;4;R555;C1016;Debby Ant;5049AP;36;
